year,nhw_both_e0,nhw_male_e0,nhw_female_e0,nhb_both_e0,nhb_male_e0,nhb_female_e0,hisp_both_e0,hisp_male_e0,hisp_female_e0,nhw_both_e65,nhw_male_e65,nhw_female_e65,nhb_both_e65,nhb_male_e65,nhb_female_e65,hisp_both_e65,hisp_male_e65,hisp_female_e65
2006,78.2,75.7,80.6,73.1,69.5,76.4,80.3,77.5,82.9,18.7,17.2,19.9,17.1,15.1,18.5,20.2,18.5,21.5
2007,78.4,75.9,80.8,73.5,69.9,76.7,80.7,77.8,83.2,18.8,17.4,20.0,17.2,15.3,18.7,20.5,18.7,21.7
2008,78.4,76.0,80.7,73.9,70.5,77.0,80.8,78.0,83.3,18.8,17.4,20.0,17.4,15.4,18.8,20.4,18.7,21.6
2009,78.7,76.3,81.0,74.4,71.0,77.4,81.1,78.4,83.5,19.1,17.7,20.3,17.7,15.8,19.1,20.7,19.0,21.9
2010,78.8,76.4,81.1,74.7,71.5,77.7,81.7,78.8,84.3,19.1,17.7,20.3,17.7,15.8,19.1,21.2,19.2,22.6
2011,78.7,76.4,81.1,75.0,71.8,77.8,81.8,79.2,84.2,19.1,17.8,20.3,17.9,16.1,19.2,21.2,19.5,22.5
2012,78.9,76.5,81.2,75.1,71.9,78.1,81.9,79.3,84.3,19.3,17.9,20.4,18.0,16.1,19.4,21.0,19.5,22.1
2013,78.8,76.5,81.2,75.1,71.9,78.1,81.9,79.2,84.2,19.3,17.9,20.4,18.0,16.1,19.4,21.3,19.5,22.5
2014,78.8,76.5,81.2,75.3,72.2,78.2,82.1,79.4,84.5,19.3,18.0,20.5,18.1,16.3,19.5,21.5,19.7,22.8
2015,78.7,76.3,81.0,75.1,71.9,78.1,81.9,79.3,84.3,19.3,18.0,20.5,18.1,16.2,19.5,21.4,19.7,22.6
2016,78.6,76.2,81.0,74.9,71.6,78.0,81.8,79.1,84.3,19.4,18.0,20.5,18.1,16.2,19.5,21.5,19.8,22.7
2017,78.5,76.1,81.0,74.9,71.5,78.1,81.8,79.1,84.3,19.3,18.0,20.5,18.1,16.2,19.5,21.4,19.7,22.7