State,State Code,Deaths,Population,Crude Rate
Alabama,1,1729,4615948,37.5
Alaska,2,282,807246,34.9
Arizona,4,2498,5121352,48.8
Arkansas,5,1204,3008806,40
California,6,8466,24790537,34.2
Colorado,8,2484,5458197,45.5
Connecticut,9,1108,4112706,26.9
Delaware,10,343,856898,40
District of Columbia,11,50,243114,20.6
Florida,12,7108,15711210,45.2
Georgia,13,2825,8038249,35.1
Hawaii,15,235,557113,42.2
Idaho,16,741,1742356,42.5
Illinois,17,3393,12374039,27.4
Indiana,18,2613,7657819,34.1
Iowa,19,1143,3869396,29.5
Kansas,20,1138,3196967,35.6
Kentucky,21,1932,5354230,36.1
Louisiana,22,1362,3997445,34.1
Maine,23,640,1950911,32.8
Maryland,24,1388,5012456,27.7
Massachusetts,25,1689,7743827,21.8
Michigan,26,3591,11655702,30.8
Minnesota,27,1800,6721988,26.8
Mississippi,28,946,2436245,38.8
Missouri,29,2536,6907164,36.7
Montana,30,577,1288865,44.8
Nebraska,31,589,2140874,27.5
Nevada,32,1323,2298122,57.6
New Hampshire,33,647,1960541,33
New Jersey,34,1877,8337975,22.5
New Mexico,35,670,1268058,52.8
New York,36,3747,17033859,22
North Carolina,37,3148,8975594,35.1
North Dakota,38,266,865582,30.7
Ohio,39,4030,13876611,29
Oklahoma,40,1521,3765680,40.4
Oregon,41,1828,4474561,40.9
Pennsylvania,42,4987,15208083,32.8
Rhode Island,44,358,1245452,28.7
South Carolina,45,1585,4168871,38
South Dakota,46,331,984600,33.6
Tennessee,47,2583,6901200,37.4
Texas,48,6441,17258521,37.3
Utah,49,1180,2459926,48
Vermont,50,296,916208,32.3
Virginia,51,2489,7859085,31.7
Washington,53,2540,7560172,33.6
West Virginia,54,903,2511955,35.9
Wisconsin,55,2288,7285129,31.4
Wyoming,56,320,712767,44.9