Country.Name,Country.Code,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017
OECD members,OED,69.2002464,69.5163883,69.8042034,70.0970628,70.2828291,70.6988517,71.0475547,71.3243426,71.6898975,71.8672234,72.209424,72.2666526,72.6351823,72.9807503,73.1119322,73.3990473,73.5443465,73.8094041,74.0931554,74.2420851,74.5073341,74.6899348,74.8809813,75.162668,75.2684831,75.5622838,75.6683106,76.0417766,76.3838412,76.5957073,76.773462,77.0618313,77.3712698,77.5307874,77.6802615,78.0819742,78.1980644,78.4869693,78.7105503,78.8564331,79.1153987,79.2858812,79.5178383,79.6312358,79.7943915,80.0437752,79.934026,80.0865632,80.1384657
Austria,AUT,69.8331707,69.9146342,70.1146342,70.4634146,71.0146342,71.0121951,71.1146342,71.5658537,71.9146342,72.0121951,72.3121951,72.4634146,72.8121951,72.9609756,73.0121951,73.6121951,73.8146342,74.3170732,74.7682927,75.2170732,75.2658537,75.5682927,75.6170732,75.8170732,76.0682927,76.4195122,76.6682927,76.8707317,77.3195122,77.6707317,77.8756098,78.1268293,78.5756098,78.6780488,78.6317073,79.1804878,79.3317073,79.8804878,80.1804878,80.4317073,80.3317073,80.5804878,80.9829268,80.9365854,81.1365854,81.4902439,81.1902439,81.6414634,81.6414634
Belgium,BEL,70.7648781,70.9719512,71.0604878,71.405122,71.6353659,71.9858537,71.9712195,72.1197561,72.7739024,72.6980488,73.1936585,73.2070732,73.6217073,73.8880488,73.8690244,74.4048781,74.5202439,74.7317073,75.3658537,75.5658537,75.6326829,76.0519512,76.1921951,76.3512195,76.3453659,76.6917073,76.8407317,77.1873171,77.3707317,77.4731707,77.6195122,77.7219512,77.9731707,78.0756098,78.1292683,78.8780488,78.9804878,79.3804878,79.7829268,79.6804878,80.0341463,80.1829268,80.5853659,80.3853659,80.5878049,81.2878049,80.9926829,81.4390244,81.4390244
Canada,CAN,72.5014634,72.7004878,73.0292683,72.9339024,73.1626829,73.237561,73.5217073,73.8560976,74.2156098,74.5297561,74.8663415,75.0780488,75.4634146,75.7634146,76.0658537,76.2170732,76.3682927,76.5195122,76.7195122,76.9195122,77.1195122,77.4219512,77.6219512,77.7243902,77.8243902,77.8268293,78.0292683,78.1804878,78.4317073,78.6341463,78.8853659,79.1365854,79.3390244,79.4902439,79.7414634,79.8926829,80.1926829,80.3439024,80.5439024,80.695122,80.995122,81.2463415,81.4487805,81.6487805,81.7487805,81.8,81.9,82.1422439,82.2489756
Croatia,HRV,67.8813659,68.2004878,68.5016342,68.7787317,69.0292439,69.2527073,70.0019512,70.4553659,70.7443902,70.5387805,70.4273171,70.1753659,70.3443902,70.4826829,70.2748781,70.2185366,70.8860976,71.4190244,71.4702439,71.4882927,71.8446342,72.1704878,72.1853659,71.2414634,71.522439,71.8034146,72.0843902,72.3653659,72.495122,72.3170732,72.6419512,72.8078049,74.5129268,74.7173171,74.6139024,75.5202439,75.2446342,75.8368293,75.7056098,75.9121951,76.1682927,76.4756098,76.7756098,76.9243902,77.1268293,77.4780488,77.2756098,78.0219512,77.8268293
Czech Republic,CZE,69.3670732,69.4402439,69.6770732,70.1765854,70.0226829,70.0865854,70.4146342,70.5326829,70.5734146,70.6439024,70.7495122,70.2780488,70.7221951,70.8078049,70.5914634,70.837561,71.0463415,70.9973171,71.4456098,71.6414634,71.6756098,71.3839024,71.8982927,72.2717073,72.7678049,72.9726829,73.0748781,73.7146342,73.8248781,74.5146342,74.6682927,74.9682927,75.1731707,75.2219512,75.1707317,75.7219512,75.9243902,76.5243902,76.7243902,76.9756098,77.0780488,77.4243902,77.8731707,78.0756098,78.1756098,78.8243902,78.5780488,79.0268293,79.4756098
Denmark,DNK,73.2209756,73.3434146,73.4146342,73.4390244,73.6821951,73.8082927,74.075122,73.7397561,74.632439,74.3929268,74.2192683,74.1017073,74.2304878,74.5512195,74.4204878,74.5621951,74.427561,74.5797561,74.6912195,74.7717073,74.7997561,74.8053659,75.1578049,75.1941463,75.1168293,75.375122,75.2126829,75.5914634,75.945122,76.1390244,76.3414634,76.5926829,76.7926829,76.895122,77.1439024,77.4926829,77.8439024,78.095122,78.195122,78.4463415,78.597561,79.1,79.8,80.0512195,80.3,80.7,80.702439,80.8536585,81.0048781
Estonia,EST,69.9280976,69.9370976,69.9053415,69.8328293,69.7245854,69.5902195,69.4413171,69.2900244,69.1469512,69.0262683,68.9385854,68.9056342,68.9780488,69.1268293,69.3756098,69.2780488,69.3804878,70.0853659,70.6439024,70.697561,70.0390244,69.4756098,69.3731707,68.8634146,67.9097561,66.5,67.5439024,69.6121951,69.8097561,69.3585366,70.0634146,70.4170732,70.2585366,70.9048781,71.3170732,71.9097561,72.5682927,72.6914634,72.8146342,73.7707317,74.8243902,75.4292683,76.2292683,76.3268293,77.1414634,77.0341463,77.5902439,77.6414634,77.6414634
Finland,FIN,69.5034146,70.1795122,70.017561,70.7073171,71.2236585,71.1348781,71.6736585,71.8129268,72.3502439,72.8970732,73.1553659,73.44,73.7465854,74.2980488,74.2009756,74.5190244,74.2229268,74.56,74.5919512,74.5770732,74.7921951,74.8131707,75.227561,75.4553659,75.705122,76.3956098,76.4095122,76.6934146,76.8785366,77.0907317,77.2912195,77.4658537,77.9658537,78.1195122,78.3682927,78.7146342,78.8170732,79.2146342,79.2634146,79.5682927,79.7195122,79.8707317,80.4707317,80.6268293,80.9756098,81.1804878,81.4804878,81.4292683,81.4292683
France,FRA,71.4585366,71.6585366,71.9073171,72.1073171,72.3560976,72.6048781,72.8536585,73.102439,73.3512195,73.602439,73.8512195,74.0512195,74.3,74.5,74.8,75,75.3,75.6,75.8,76.1,76.3487805,76.6,76.8487805,77.1,77.3,77.6487805,77.7512195,77.9536585,78.3048781,78.6048781,78.7560976,79.0560976,79.1585366,79.2609756,79.1146342,80.1634146,80.1634146,80.8121951,81.1121951,81.2146342,81.4146342,81.6634146,82.1146342,81.9682927,82.2195122,82.6707317,82.3219512,82.5243902,82.5243902
Germany,DEU,70.5506829,70.6397805,70.7428781,70.867,71.0166829,71.1954146,71.4017317,71.6341463,71.8836829,72.1432927,72.4085366,72.6779024,72.9503902,73.227,73.5051951,73.7829268,74.0546342,74.3137317,74.5596829,74.7924878,75.0131463,75.2277561,75.3195122,75.8195122,75.8707317,76.2707317,76.4219512,76.6731707,77.0731707,77.4756098,77.7268293,77.9268293,78.3292683,78.2292683,78.3804878,78.6804878,78.9317073,79.1317073,79.5341463,79.7365854,79.8365854,79.9878049,80.4365854,80.5390244,80.4902439,81.0902439,80.6414634,80.9902439,80.9902439
Greece,GRC,70.5892927,70.9036342,71.226561,71.535,71.8148537,72.0646342,72.2937073,72.519561,72.7616585,73.0310732,73.3293659,73.6471463,73.9694878,74.279,74.5658537,74.829122,75.0785122,75.3297073,75.5981463,75.8912439,76.6878049,76.9390244,77.1365854,77.3829268,77.3902439,77.6390244,77.5853659,77.6853659,78.1365854,77.8390244,77.9878049,77.8878049,78.3878049,78.6414634,78.8414634,79.0390244,79.2390244,79.4390244,79.4390244,79.9390244,80.1878049,80.3878049,80.7317073,80.6341463,81.2853659,81.3853659,81.0365854,81.3878049,81.3878049
Hungary,HUN,69.3146342,69.1646342,69.052439,69.6646342,69.5180488,69.2480488,69.29,69.5731707,69.8480488,69.3939024,69.6153659,69.0617073,69.1392683,69.3578049,68.9736585,69.0258537,68.9721951,69.1734146,69.6512195,70.0234146,69.4617073,69.3156098,69.3770732,69.1170732,69.1012195,69.4697561,69.7917073,70.3287805,70.702439,70.5578049,70.6770732,71.2463415,72.2487805,72.3487805,72.3,72.6487805,72.6487805,73.097561,73.1512195,73.702439,73.9048781,74.2073171,74.8585366,75.0634146,75.5658537,75.7634146,75.5682927,76.0634146,76.0634146
Iceland,ISL,73.7763415,73.9339024,73.5704878,74.4558537,74.4509756,74.5117073,75.5787805,76.9721951,76.3736585,76.6492683,76.7731707,76.8465854,76.5214634,77.0378049,76.8456098,77.5765854,77.602439,77.9907317,77.3390244,77.0829268,78.1409756,78.0363415,77.9919512,78.7602439,78.9346342,79.2470732,77.9843902,78.7778049,78.8853659,79.602439,79.3512195,79.6536585,80.6902439,80.502439,80.9634146,80.997561,81.502439,81.1585366,81.4536585,81.6097561,81.7512195,81.897561,82.3585366,82.9170732,82.0609756,82.8609756,82.4682927,82.2048781,82.2048781
Ireland,IRL,70.9378781,71.031439,71.1285366,71.2322439,71.345561,71.4720244,71.6166098,71.7827805,71.969,72.1737317,72.3934634,72.6232439,72.8560976,73.0880732,73.3136829,73.5314634,73.7423659,73.9514146,74.1625366,74.3777073,74.5959024,74.8090976,75.0052683,75.1809512,75.336122,75.4768049,75.617561,75.8317073,75.9853659,76.1804878,76.0829268,76.5365854,77.1341463,77.6341463,78.1390244,78.5390244,78.9439024,79.2414634,79.6414634,80.095122,80.1902439,80.7439024,80.7463415,80.8463415,80.9487805,81.3487805,81.4536585,81.7048781,81.9560976
Italy,ITA,70.8119512,71.5587805,71.8068293,72.0753659,72.0263415,72.7343902,72.6473171,72.9919512,73.3646342,73.6931707,74.0026829,73.9431707,74.3539024,74.8146342,74.6402439,75.3895122,75.4707317,75.7707317,76.2195122,76.3707317,76.8195122,76.9707317,77.0195122,77.4195122,77.7219512,77.9219512,78.1707317,78.5219512,78.8243902,78.9756098,79.4243902,79.7780488,80.1268293,80.2292683,79.9829268,80.7804878,80.7829268,81.2829268,81.4341463,81.4853659,81.6365854,82.0365854,82.1878049,82.2390244,82.6902439,83.0902439,82.5439024,83.2439024,83.2439024
Latvia,LVA,69.7968293,69.8353659,70.1646342,69.8787805,69.8134146,69.7409756,68.9253659,69.0478049,69.1046342,68.9878049,68.4956098,68.8085366,68.7863415,69.3282927,69.1190244,69.1629268,69.2914634,70.622439,70.6929268,70.6153659,70.1553659,69.2731707,69.032439,68.3960976,66.7226829,65.6643902,66.3912195,68.7765854,69.3492683,69.0121951,69.7429268,70.3146342,70.7609756,70.9609756,71.2658537,72.0268293,71.3560976,70.8658537,71.0195122,72.4195122,73.0804878,73.4829268,73.5756098,73.7780488,73.9829268,74.1243902,74.4804878,74.5804878,74.6804878
Lithuania,LTU,70.9285366,70.8043902,71.7353659,71.0246342,71.3321951,71.2441463,70.8673171,70.9580488,70.8095122,70.6046342,70.4821951,70.4821951,70.4607317,70.8368293,70.7778049,70.32,70.5012195,72.0807317,71.9346342,71.7621951,71.4253659,71.1607317,70.3641463,70.2343902,68.9104878,68.5302439,69.0063415,70.1080488,70.9090244,71.2195122,71.5707317,72.0195122,71.6585366,71.7609756,72.0609756,71.9609756,71.2536585,71.0560976,70.9,71.8121951,72.9146342,73.2682927,73.5634146,73.8634146,73.9146342,74.5170732,74.3219512,74.6707317,74.6707317
Luxembourg,LUX,69.9048537,69.9834634,70.081439,70.2053171,70.3581707,70.542561,70.7576098,70.9985122,71.2562927,71.5224634,71.7944634,72.0726098,72.3576829,72.6534634,72.9588781,73.2719268,73.5857561,73.8946098,74.1937561,74.4803415,74.7524146,75.0104146,75.4634146,75.7707317,75.7121951,76.3707317,76.5121951,76.5195122,76.8804878,77.0170732,77.7707317,77.8731707,77.8243902,77.9658537,77.7268293,79.1219512,79.4317073,79.2878049,79.3829268,80.5390244,80.6365854,80.6317073,80.9878049,81.3926829,81.8,82.2292683,82.2926829,82.6853659,82.6853659
Netherlands,NLD,73.5395122,73.5856098,73.8095122,73.7270732,74.1439024,74.5368293,74.4987805,74.6470732,75.2214634,75.145122,75.6060976,75.7431707,75.9343902,75.9885366,76.1641463,76.2331707,76.2846342,76.2704878,76.705122,76.8902439,76.7341463,76.8780488,77,77.2170732,76.9165854,77.375122,77.4046342,77.4356098,77.7943902,77.8829268,77.8365854,77.9878049,78.1902439,78.2926829,78.4926829,79.095122,79.3463415,79.697561,80.097561,80.2512195,80.5487805,80.702439,81.2048781,81.1048781,81.3048781,81.7073171,81.5097561,81.5609756,81.5609756
Norway,NOR,73.6634146,74.0880488,74.1792683,74.3446342,74.4421951,74.7536585,74.817561,75.0395122,75.3868293,75.4185366,75.4139024,75.6717073,75.8690244,76.0109756,76.0668293,76.2243902,75.9168293,76.2412195,76.0817073,76.2204878,76.5004878,76.5373171,76.9807317,77.1843902,77.1517073,77.6897561,77.7365854,78.1504878,78.1426829,78.3292683,78.2829268,78.6341463,78.7853659,78.9878049,79.3902439,79.8414634,80.0414634,80.3439024,80.395122,80.5926829,80.795122,80.997561,81.295122,81.4512195,81.7512195,82.1,82.3048781,82.4073171,82.5097561
Poland,POL,69.7195122,69.8682927,69.6121951,70.6658537,70.6634146,71.1170732,70.5609756,70.6560976,70.402439,70.3512195,70.7512195,70.097561,71.0512195,71.102439,71,70.8,70.5487805,70.8487805,70.897561,71.3317073,71.0439024,70.8902439,70.5878049,71.0902439,71.595122,71.695122,71.8926829,72.2463415,72.6463415,72.997561,73.0439024,73.7487805,74.2,74.497561,74.597561,74.8463415,74.995122,75.1439024,75.2439024,75.5439024,75.695122,76.2463415,76.695122,76.7463415,77,77.602439,77.4512195,77.8512195,77.8512195
Portugal,PRT,66.8127073,67.0731707,66.7707317,68.3243902,67.5243902,68.0195122,68.3097561,68.8609756,70.0121951,70.3170732,71.1682927,71.2146342,71.6146342,72.4146342,72.2658537,72.5146342,72.8146342,73.2658537,73.6658537,73.7146342,74.2658537,73.9658537,74.0146342,74.3121951,74.5121951,74.9146342,75.3121951,75.2609756,75.4121951,75.7121951,75.9634146,76.3146342,76.8146342,77.0658537,77.2195122,77.6707317,78.0707317,78.4195122,78.3219512,78.5243902,78.7268293,79.0268293,80.4707317,80.3731707,80.7219512,81.1219512,81.1243902,81.1243902,81.1243902
Slovak Republic,SVK,70.2057073,70.1342439,70.0994878,70.0989268,70.1250732,70.1759024,70.2448781,70.3224634,70.3986098,70.4652439,70.5199024,70.4085366,70.6292683,70.6890244,70.4790244,70.7509756,70.7346342,71.0212195,71.0887805,71.2078049,71.0263415,70.9326829,70.8829268,71.795122,72.4487805,72.3,72.2536585,72.6536585,72.7048781,72.5512195,72.902439,73.0512195,73.402439,73.6048781,73.6048781,73.9585366,73.9048781,74.2048781,74.2073171,74.7048781,74.9097561,75.1121951,75.9585366,76.1097561,76.4121951,76.8121951,76.5634146,77.1658537,77.1658537
Slovenia,SVN,68.3609756,68.6097561,68.8341463,69.0585366,69.4048781,70.1609756,70.3585366,70.3073171,70.5560976,70.702439,70.8536585,71.1048781,71.2048781,71.0536585,70.5414634,70.902439,71.3512195,71.802439,72.002439,72.4463415,72.7048781,73.2048781,73.3536585,73.3048781,73.2536585,73.4048781,73.9585366,74.4585366,74.7073171,74.8073171,75.0097561,75.4121951,75.7585366,76.0073171,76.8585366,77.2073171,77.6121951,78.0865854,78.5609756,78.7658537,78.9707317,79.4219512,79.9707317,80.1243902,80.3219512,81.0780488,80.7756098,81.1756098,81.1756098
Spain,ESP,71.057561,72.0273171,71.6302439,72.8180488,72.6107317,72.9697561,73.3187805,73.6426829,74.1319512,74.2956098,74.8187805,75.3492683,75.5285366,76.1341463,75.9090244,76.2953659,76.2595122,76.5104878,76.7280488,76.7470732,76.8136585,76.837561,76.9712195,77.41,77.5465854,77.9014634,77.9807317,78.1204878,78.6041463,78.6658537,78.7170732,78.9658537,79.3682927,79.5682927,79.6195122,79.8707317,80.1707317,80.8219512,80.8731707,81.1756098,81.4756098,81.6268293,82.4756098,82.4268293,83.0780488,83.2292683,82.8317073,83.3292683,83.3292683
Sweden,SWE,74.0848781,74.6492683,74.6239024,74.7180488,74.8673171,74.9804878,74.9846342,74.9692683,75.3797561,75.4690244,75.5241463,75.7409756,76.0260976,76.3273171,76.5517073,76.8158537,76.6678049,76.9312195,77.0921951,76.9792683,77.7268293,77.5368293,77.6668293,77.9987805,78.0604878,78.6502439,78.7404878,78.9590244,79.197561,79.3390244,79.4414634,79.6439024,79.795122,79.8463415,80.095122,80.497561,80.5463415,80.7487805,80.9,81.1,81.3512195,81.4512195,81.802439,81.7048781,81.9560976,82.2536585,82.2048781,82.3073171,82.3073171
Switzerland,CHE,72.6126829,73.0202439,73.1307317,73.6443902,73.9409756,74.2870732,74.6656098,74.7853659,75.2380488,75.1873171,75.4660976,75.4592683,75.6931707,76.0339024,76.0312195,76.6085366,76.7336585,76.8990244,77.197561,77.2265854,77.4212195,77.242439,77.5146342,77.8060976,78.0853659,78.35,78.4170732,78.8960976,79.0795122,79.3243902,79.5804878,79.6804878,80.1804878,80.3853659,80.5365854,81.0878049,81.2365854,81.4902439,81.7414634,81.9926829,82.0439024,82.2463415,82.695122,82.697561,82.797561,83.197561,82.897561,83.602439,83.602439
United Kingdom,GBR,71.7219512,71.9731707,72.2731707,72.1243902,72.3243902,72.5243902,72.7243902,72.7756098,73.2243902,73.1756098,73.2756098,73.6756098,74.0268293,74.1780488,74.3780488,74.7780488,74.6292683,74.9292683,75.2804878,75.3804878,75.5829268,75.8804878,76.0829268,76.4341463,76.3853659,76.8853659,76.8365854,77.0878049,77.2109756,77.1902439,77.3902439,77.7414634,77.9926829,78.1439024,78.4463415,78.7463415,79.0487805,79.2487805,79.4487805,79.6,80.0512195,80.402439,80.9512195,80.9048781,81.0048781,81.3048781,80.9560976,81.1560976,81.1560976
United States,USA,70.5073171,70.8073171,71.1073171,71.1560976,71.3560976,71.9560976,72.6048781,72.8560976,73.2560976,73.3560976,73.8048781,73.6097561,74.0097561,74.3609756,74.4634146,74.5634146,74.5634146,74.6146342,74.7658537,74.7658537,75.0170732,75.2146342,75.3658537,75.6170732,75.4195122,75.6195122,75.6219512,76.0268293,76.4292683,76.5804878,76.5829268,76.6365854,76.8365854,76.9365854,77.0365854,77.4878049,77.4878049,77.6878049,77.9878049,78.0390244,78.3902439,78.5414634,78.6414634,78.7414634,78.7414634,78.8414634,78.6902439,78.5390244,78.5390244